SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:00,123456,OPERATOR,,,,FAIL,93,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:22:27,,,,PRODUCTION TIME LOT:89:22:27,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:00,123456,OPERATOR,,,,DOWN TIME LOT,59:14:21,,,,DOWN TIME LOT:59:14:21,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:01,123456,OPERATOR,,,,PRODUCTION TIME,25:16:36,,,,PRODUCTION TIME:25:16:36,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,12:00:01,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:00,123456,OPERATOR,,,,FAIL,93,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:22:27,,,,PRODUCTION TIME LOT:89:22:27,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:00,123456,OPERATOR,,,,DOWN TIME LOT,62:02:21,,,,DOWN TIME LOT:62:02:21,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:01,123456,OPERATOR,,,,PRODUCTION TIME,25:16:36,,,,PRODUCTION TIME:25:16:36,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,13:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:00,123456,OPERATOR,,,,FAIL,93,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:22:27,,,,PRODUCTION TIME LOT:89:22:27,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:01,123456,OPERATOR,,,,DOWN TIME LOT,64:14:21,,,,DOWN TIME LOT:64:14:21,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:01,123456,OPERATOR,,,,PRODUCTION TIME,25:16:36,,,,PRODUCTION TIME:25:16:36,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,14:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:00,123456,OPERATOR,,,,FAIL,93,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:22:27,,,,PRODUCTION TIME LOT:89:22:27,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:01,123456,OPERATOR,,,,DOWN TIME LOT,67:02:21,,,,DOWN TIME LOT:67:02:21,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:01,123456,OPERATOR,,,,PRODUCTION TIME,25:16:36,,,,PRODUCTION TIME:25:16:36,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,15:00:02,123456,OPERATOR,,,,,,,,,,
